canonical_name,french_name,english_name,category
apple,pomme,apple,produce
asparagus,asperge,asparagus,produce
avocado,avocat,avocado,produce
banana,banane,banana,produce
beef,boeuf,beef,meat
beet,betterave,beet,produce
blueberry,bleuet,blueberry,produce
bread,pain,bread,bakery
broccoli,brocoli,broccoli,produce
butter,beurre,butter,dairy
cabbage,chou,cabbage,produce
carrot,carotte,carrot,produce
cauliflower,chou-fleur,cauliflower,produce
celery,céleri,celery,produce
cheese,fromage,cheese,dairy
chicken,poulet,chicken,meat
coffee,café,coffee,beverage
corn,maïs,corn,produce
cucumber,concombre,cucumber,produce
egg,oeuf,egg,dairy
eggplant,aubergine,eggplant,produce
garlic,ail,garlic,produce
grape,raisin,grape,produce
green bean,haricot vert,green bean,produce
green onion,échalote,green onion,produce
leek,poireau,leek,produce
lettuce,laitue,lettuce,produce
maple syrup,sirop d'érable,maple syrup,pantry
milk,lait,milk,dairy
mushroom,champignon,mushroom,produce
onion,oignon,onion,produce
parsnip,panais,parsnip,produce
pea,pois,pea,produce
peach,pêche,peach,produce
pear,poire,pear,produce
pepper,poivron,pepper,produce
pork,porc,pork,meat
potato,pomme de terre,potato,produce
pumpkin,citrouille,pumpkin,produce
radish,radis,radish,produce
raspberry,framboise,raspberry,produce
rhubarb,rhubarbe,rhubarb,produce
rice,riz,rice,pantry
rutabaga,rutabaga,rutabaga,produce
salmon,saumon,salmon,seafood
spinach,épinard,spinach,produce
squash,courge,squash,produce
strawberry,fraise,strawberry,produce
tomato,tomate,tomato,produce
zucchini,courgette,zucchini,produce
