Month,Ingredients,
January,Apples,
January,Pears,
January,Carrots,
January,Beets,
January,Cabbage,
January,Potatoes,
January,Rutabaga,
January,Winter squash,
February,Apples,
February,Pears,
February,Carrots,
February,Beets,
February,Cabbage,
February,Parsnips,
February,Potatoes,
February,Leeks,
March,Apples,
March,Carrots,
March,Beets,
March,Cabbage,
March,Parsnips,
March,Potatoes,
March,Garlic,
March,Maple syrup,
April,Maple syrup,
April,Apples,
April,Carrots,
April,Beets,
April,Parsnips,
April,Greenhouse lettuce,
April,Greenhouse herbs,
May,Asparagus,
May,Rhubarb,
May,Radishes,
May,Spinach,
May,Lettuce,
May,Green onions,
May,Pea shoots,
May,Greenhouse tomatoes,
June,Strawberries,
June,Asparagus,
June,Peas,
June,Snow peas,
June,Radishes,
June,Spinach,
June,Lettuce,
June,Garlic scapes,
July,Haskap,
June,Zucchini,
July,Strawberries,
July,Raspberries,
July,Blueberries,
July,Cherries,
July,Peaches,
July,Peas,
July,Zucchini,
July,Cucumbers,
July,Green beans,
July,Corn,
August,Tomatoes,
August,Corn,
August,Peaches,
August,Blueberries,
August,Raspberries,
August,Peppers,
August,Cucumbers,
August,Green beans,
August,Eggplant,
August,Plums,
September,Apples,
September,Pears,
September,Tomatoes,
September,Corn,
September,Peppers,
September,Cucumbers,
September,Broccoli,
September,Cauliflower,
September,Winter squash,
September,Grapes,
September,Plums,
October,Apples,
October,Pears,
October,Pumpkins,
October,Winter squash,
October,Cranberries,
October,Carrots,
October,Beets,
October,Cabbage,
October,Brussels sprouts,
October,Potatoes,
November,Apples,
November,Pears,
November,Potatoes,
November,Carrots,
November,Beets,
November,Cabbage,
November,Brussels sprouts,
November,Winter squash,
November,Rutabaga,
November,Parsnips,
December,Apples,
December,Pears,
December,Potatoes,
December,Carrots,
December,Beets,
December,Cabbage,
December,Rutabaga,
December,Parsnips,
December,Winter squash,
December,Leeks,
